Empreendimento;Situação;Data Entrega; Unidades Habitacionais ;Programa;Ação PPA;Município;Região Administrativa
GUZOLANDIA V D;COMERCIALIZADA;09/07/2014; 72 ;Provisão de Moradias;Provisão de Moradias para Demanda Geral;Guzolândia;ARAÇATUBA
HERCULANDIA A;COMERCIALIZADA;14/04/1992; 60 ;SH3;;Herculândia;MARÍLIA
HERCULANDIA B1/B2;COMERCIALIZADA;07/03/1998; 245 ;SH4;;Herculândia;MARÍLIA
HERCULANDIA C;COMERCIALIZADA;02/09/2005; 250 ;Núcleo Habitacional por Empreitada;;Herculândia;MARÍLIA
HORTOLANDIA A;COMERCIALIZADA;30/09/1998; 1.465 ;Sonho Meu;;Hortolândia;CAMPINAS
HORTOLANDIA A1 - JD SANTIAGO;COMERCIALIZADA;05/12/2012; 20 ;Requalificação Habitacional e Urbana;Reassentamento Habitacional;Hortolândia;CAMPINAS
HORTOLANDIA A2 (SÍTIO SAO JOAO);COMERCIALIZADA;05/12/2012; 2 ;Requalificação Habitacional e Urbana;Reassentamento Habitacional;Hortolândia;CAMPINAS
HORTOLANDIA B;COMERCIALIZADA;30/12/2009; 320 ;Parceria com Municípios;;Hortolândia;CAMPINAS
IACANGA A;COMERCIALIZADA;09/05/2008; 70 ;Parceria com Municípios;;Iacanga;BAURU
IACANGA B;COMERCIALIZADA;15/12/2012; 78 ;Provisão de Moradias;Provisão de Moradias para Demanda Geral;Iacanga;BAURU
IACANGA B;COMERCIALIZADA;28/12/2012; 28 ;Provisão de Moradias;Provisão de Moradias para Demanda Geral;Iacanga;BAURU
IACANGA B;COMERCIALIZADA;24/04/2013; 75 ;Provisão de Moradias;Provisão de Moradias para Demanda Geral;Iacanga;BAURU
IACANGA C;COMERCIALIZADA;22/12/2020; 203 ;Provisão de Moradias;Provisão de Moradias para Demanda Geral;Iacanga;BAURU
IACRI A;COMERCIALIZADA;30/11/1989; 40 ;Prog Municipal Habitação;;Iacri;MARÍLIA
IACRI B;COMERCIALIZADA;01/12/1989; 50 ;SH2;;Iacri;MARÍLIA
IACRI C;COMERCIALIZADA;13/12/1991; 40 ;SH3;;Iacri;MARÍLIA
IACRI D;COMERCIALIZADA;05/09/1992; 40 ;SH3;;Iacri;MARÍLIA
IACRI E;COMERCIALIZADA;25/07/1996; 56 ;SH4;;Iacri;MARÍLIA
IACRI F;COMERCIALIZADA;25/07/1996; 63 ;SH4;;Iacri;MARÍLIA
IACRI G;COMERCIALIZADA;16/05/2002; 121 ;Sonho Meu;;Iacri;MARÍLIA
IACRI H;COMERCIALIZADA;29/11/2015; 104 ;Provisão de Moradias;Provisão de Moradias para Demanda Geral;Iacri;MARÍLIA
IARAS A;COMERCIALIZADA;20/06/2002; 89 ;Sonho Meu;;Iaras;SOROCABA
IBATE A;COMERCIALIZADA;21/03/1993; 307 ;SH3;;Ibaté;CENTRAL
IBATE B1;COMERCIALIZADA;14/10/2016; 240 ;Provisão de Moradias;Provisão de Moradias para Demanda Geral;Ibaté;CENTRAL
IBATE B2;COMERCIALIZADA;27/12/2019; 286 ;Provisão de Moradias;Provisão de Moradias para Demanda Geral;Ibaté;CENTRAL
IBIRA A1;COMERCIALIZADA;12/12/1993; 70 ;SH3;;Ibirá;SÃO JOSÉ DO RIO PRETO
IBIRA A2;COMERCIALIZADA;16/12/2000; 20 ;Sonho Meu;;Ibirá;SÃO JOSÉ DO RIO PRETO
IBIRA B;COMERCIALIZADA;24/08/1996; 64 ;SH4;;Ibirá;SÃO JOSÉ DO RIO PRETO
IBIRA C;COMERCIALIZADA;24/08/1996; 16 ;SH4;;Ibirá;SÃO JOSÉ DO RIO PRETO
IBIRA E;COMERCIALIZADA;18/04/2002; 18 ;Sonho Meu;;Ibirá;SÃO JOSÉ DO RIO PRETO
IBIRA VI F;COMERCIALIZADA;28/12/2015; 16 ;Requalificação Habitacional e Urbana;Reassentamento Habitacional;Ibirá;SÃO JOSÉ DO RIO PRETO
IBIRAREMA A;COMERCIALIZADA;30/07/1993; 96 ;SH3;;Ibirarema;MARÍLIA
IBIRAREMA B1;COMERCIALIZADA;29/11/2000; 40 ;Sonho Meu;;Ibirarema;MARÍLIA
IBIRAREMA B2;COMERCIALIZADA;10/05/2002; 60 ;Sonho Meu;;Ibirarema;MARÍLIA
IBIRAREMA C;COMERCIALIZADA;28/12/2005; 180 ;Autoconstrução;;Ibirarema;MARÍLIA
IBIRAREMA D;COMERCIALIZADA;16/04/2021; 91 ;Provisão de Moradias;Provisão de Moradias para Demanda Geral;Ibirarema;MARÍLIA
IBITINGA D;COMERCIALIZADA;14/02/2008; 232 ;Parceria com Municípios;;Ibitinga;CENTRAL
IBITINGA D;COMERCIALIZADA;04/04/2008; 63 ;Parceria com Municípios;;Ibitinga;CENTRAL
IBITINGA D2;COMERCIALIZADA;27/07/2013; 44 ;Provisão de Moradias;Provisão de Moradias para Demanda Geral;Ibitinga;CENTRAL
IBITINGA E;COMERCIALIZADA;02/07/2021; 172 ;Provisão de Moradias;Provisão de Moradias para Demanda Geral;Ibitinga;CENTRAL
IBIUNA - MICROCREDITO;COMERCIALIZADA;31/12/2007; 16 ;Crédito Habitacional;;Ibiúna;SOROCABA
IBIUNA A;COMERCIALIZADA;29/02/1992; 41 ;Prog Municipal Habitação;;Ibiúna;SOROCABA
IBIUNA A2;COMERCIALIZADA;24/03/1993; 125 ;SH3;;Ibiúna;SOROCABA
IBIUNA A3;COMERCIALIZADA;17/11/1994; 40 ;SH3;;Ibiúna;SOROCABA
IBIUNA B;COMERCIALIZADA;20/10/2006; 100 ;Autoconstrução;;Ibiúna;SOROCABA
IBIUNA C;COMERCIALIZADA;27/12/2018; 188 ;Requalificação Habitacional e Urbana;Reassentamento Habitacional;Ibiúna;SOROCABA
ICEM A;COMERCIALIZADA;27/05/1990; 60 ;SH2;;Icém;SÃO JOSÉ DO RIO PRETO
ICEM B;COMERCIALIZADA;22/05/1993; 116 ;SH3;;Icém;SÃO JOSÉ DO RIO PRETO
ICEM B;COMERCIALIZADA;28/11/1993; 23 ;SH3;;Icém;SÃO JOSÉ DO RIO PRETO
ICEM C1;COMERCIALIZADA;12/05/1997; 162 ;SH4;;Icém;SÃO JOSÉ DO RIO PRETO
ICEM C2;COMERCIALIZADA;04/08/2000; 6 ;Sonho Meu;;Icém;SÃO JOSÉ DO RIO PRETO
ICEM D;COMERCIALIZADA;12/08/2011; 238 ;Provisão de Moradias;Provisão de Moradias para Demanda Geral;Icém;SÃO JOSÉ DO RIO PRETO
IEPE C;COMERCIALIZADA;26/07/1992; 50 ;SH2;;Iepê;PRESIDENTE PRUDENTE
IEPE D;COMERCIALIZADA;30/01/2002; 111 ;Sonho Meu;;Iepê;PRESIDENTE PRUDENTE
IEPE F;COMERCIALIZADA;01/06/2006; 46 ;Autoconstrução;;Iepê;PRESIDENTE PRUDENTE
IEPE G;COMERCIALIZADA;10/03/2012; 139 ;Provisão de Moradias;Provisão de Moradias para Demanda Geral;Iepê;PRESIDENTE PRUDENTE
IEPE G;COMERCIALIZADA;31/12/2014; 1 ;Provisão de Moradias;Provisão de Moradias para Demanda Geral;Iepê;PRESIDENTE PRUDENTE
IEPE H;COMERCIALIZADA;22/04/2020; 58 ;Requalificação Habitacional e Urbana;Reassentamento Habitacional;Iepê;PRESIDENTE PRUDENTE
IEPE H;COMERCIALIZADA;06/07/2020; 45 ;Requalificação Habitacional e Urbana;Reassentamento Habitacional;Iepê;PRESIDENTE PRUDENTE
IGARACU DO TIETE A1/A2;COMERCIALIZADA;01/01/1976; 21 ;CEESP;;Igaraçu do Tietê;BAURU
IGARACU DO TIETE A1/A2;COMERCIALIZADA;01/01/1977; 21 ;CEESP;;Igaraçu do Tietê;BAURU
IGARACU DO TIETE A3;COMERCIALIZADA;01/06/1982; 70 ;PLANHAP;;Igaraçu do Tietê;BAURU
IGARACU DO TIETE B;COMERCIALIZADA;07/05/1994; 176 ;SH3;;Igaraçu do Tietê;BAURU
IGARACU DO TIETE C;COMERCIALIZADA;24/03/1998; 200 ;SH4;;Igaraçu do Tietê;BAURU
IGARACU DO TIETE D;COMERCIALIZADA;30/09/2002; 61 ;Autoconstrução;;Igaraçu do Tietê;BAURU
IGARACU DO TIETE D;COMERCIALIZADA;17/06/2004; 61 ;Autoconstrução;;Igaraçu do Tietê;BAURU
IGARACU DO TIETE D;COMERCIALIZADA;03/11/2005; 60 ;Autoconstrução;;Igaraçu do Tietê;BAURU
IGARACU DO TIETE E;COMERCIALIZADA;14/11/2008; 100 ;Parceria com Municípios;;Igaraçu do Tietê;BAURU
IGARACU DO TIETE E2;COMERCIALIZADA;28/08/2014; 23 ;Provisão de Moradias;Provisão de Moradias para Demanda Geral;Igaraçu do Tietê;BAURU
IGARACU DO TIETE E2;COMERCIALIZADA;29/12/2014; 30 ;Provisão de Moradias;Provisão de Moradias para Demanda Geral;Igaraçu do Tietê;BAURU
IGARACU DO TIETE E2;COMERCIALIZADA;12/06/2015; 24 ;Provisão de Moradias;Provisão de Moradias para Demanda Geral;Igaraçu do Tietê;BAURU
IGARACU DO TIETE E2;COMERCIALIZADA;31/07/2015; 23 ;Provisão de Moradias;Provisão de Moradias para Demanda Geral;Igaraçu do Tietê;BAURU
IGARACU DO TIETE E3;COMERCIALIZADA;28/08/2014; 37 ;Provisão de Moradias;Provisão de Moradias para Demanda Geral;Igaraçu do Tietê;BAURU
IGARACU DO TIETE E3;COMERCIALIZADA;29/12/2014; 48 ;Provisão de Moradias;Provisão de Moradias para Demanda Geral;Igaraçu do Tietê;BAURU
IGARACU DO TIETE E3;COMERCIALIZADA;12/06/2015; 20 ;Provisão de Moradias;Provisão de Moradias para Demanda Geral;Igaraçu do Tietê;BAURU
IGARACU DO TIETE E3;COMERCIALIZADA;31/07/2015; 27 ;Provisão de Moradias;Provisão de Moradias para Demanda Geral;Igaraçu do Tietê;BAURU
IGARAPAVA A;COMERCIALIZADA;30/06/1981; 115 ;PLANHAP;;Igarapava;FRANCA
IGARAPAVA B1;COMERCIALIZADA;06/02/1993; 100 ;SH3;;Igarapava;FRANCA
IGARAPAVA B2;COMERCIALIZADA;28/12/1993; 103 ;SH3;;Igarapava;FRANCA
IGARAPAVA C1;COMERCIALIZADA;10/10/1996; 77 ;SH3;;Igarapava;FRANCA
IGARAPAVA C2;COMERCIALIZADA;24/07/2002; 59 ;Sonho Meu;;Igarapava;FRANCA
IGARAPAVA D;COMERCIALIZADA;10/10/1996; 72 ;SH4;;Igarapava;FRANCA
IGARAPAVA D2;COMERCIALIZADA;01/12/2001; 16 ;Sonho Meu;;Igarapava;FRANCA
IGARAPAVA E;COMERCIALIZADA;11/12/2009; 54 ;Provisão de Moradias;Provisão de Moradias para Demanda Geral;Igarapava;FRANCA
IGARAPAVA E;COMERCIALIZADA;30/12/2011; 49 ;Provisão de Moradias;Provisão de Moradias para Demanda Geral;Igarapava;FRANCA
IGARAPAVA E;COMERCIALIZADA;01/12/2012; 47 ;Provisão de Moradias;Provisão de Moradias para Demanda Geral;Igarapava;FRANCA
IGARATA A;COMERCIALIZADA;30/10/1991; 20 ;SH2;;Igaratá;SAO JOSÉ DOS CAMPOS
IGARATA B;COMERCIALIZADA;28/06/2002; 18 ;Sonho Meu;;Igaratá;SAO JOSÉ DOS CAMPOS
IGUAPE A;COMERCIALIZADA;14/04/1993; 179 ;SH3;;Iguape;REGISTRO
IGUAPE B;COMERCIALIZADA;15/06/1998; 300 ;SH4;;Iguape;REGISTRO
IGUAPE B2;COMERCIALIZADA;24/06/2002; 23 ;Sonho Meu;;Iguape;REGISTRO
ILHA COMPRIDA A;COMERCIALIZADA;10/12/2016; 38 ;Requalificação Habitacional e Urbana;Habitação para Litoral Sustentável;Ilha Comprida;REGISTRO
ILHA SOLTEIRA A;COMERCIALIZADA;27/09/1991; 116 ;SH3;;Ilha Solteira;ARAÇATUBA
ILHA SOLTEIRA B1;COMERCIALIZADA;04/10/2001; 60 ;Sonho Meu;;Ilha Solteira;ARAÇATUBA
ILHA SOLTEIRA B2;COMERCIALIZADA;26/09/2002; 60 ;Sonho Meu;;Ilha Solteira;ARAÇATUBA
ILHA SOLTEIRA B3;COMERCIALIZADA;16/12/2003; 11 ;Autoconstrução;;Ilha Solteira;ARAÇATUBA
ILHA SOLTEIRA C;COMERCIALIZADA;08/09/2005; 44 ;Autoconstrução;;Ilha Solteira;ARAÇATUBA
ILHABELA A;COMERCIALIZADA;08/09/2006; 80 ;Núcleo Habitacional por Empreitada;;Ilhabela;SAO JOSÉ DOS CAMPOS
INDAIATUBA A1;COMERCIALIZADA;31/08/1979; 324 ;PLANHAP;;Indaiatuba;CAMPINAS
INDAIATUBA A2;COMERCIALIZADA;14/03/1981; 320 ;PLANHAP;;Indaiatuba;CAMPINAS
INDAIATUBA A3;COMERCIALIZADA;09/12/1983; 380 ;PLANHAP;;Indaiatuba;CAMPINAS
INDAIATUBA C1;COMERCIALIZADA;19/12/1997; 584 ;SH4;;Indaiatuba;CAMPINAS
INDAIATUBA C2;COMERCIALIZADA;28/09/2001; 80 ;Sonho Meu;;Indaiatuba;CAMPINAS
INDAIATUBA D1;COMERCIALIZADA;06/12/1996; 150 ;SH4;;Indaiatuba;CAMPINAS
INDAIATUBA D2;COMERCIALIZADA;06/12/1996; 177 ;SH4;;Indaiatuba;CAMPINAS
INDAIATUBA E;COMERCIALIZADA;22/10/2005; 36 ;Atuação em Favelas e Áreas de Risco;;Indaiatuba;CAMPINAS
INDIANA A;COMERCIALIZADA;22/10/1989; 45 ;SH2;;Indiana;PRESIDENTE PRUDENTE
INDIANA B;COMERCIALIZADA;23/10/1992; 82 ;SH3;;Indiana;PRESIDENTE PRUDENTE
INDIANA C;COMERCIALIZADA;25/01/1997; 28 ;SH4;;Indiana;PRESIDENTE PRUDENTE
INDIANA D;COMERCIALIZADA;16/10/2014; 50 ;Provisão de Moradias;Provisão de Moradias para Demanda Geral;Indiana;PRESIDENTE PRUDENTE
INDIAPORA A1/A2;COMERCIALIZADA;09/05/1991; 40 ;SH2;;Indiaporã;SÃO JOSÉ DO RIO PRETO
INDIAPORA B/C/F;COMERCIALIZADA;19/12/1998; 44 ;Sonho Meu;;Indiaporã;SÃO JOSÉ DO RIO PRETO
INDIAPORA G;COMERCIALIZADA;02/12/2005; 140 ;Autoconstrução;;Indiaporã;SÃO JOSÉ DO RIO PRETO
INDIAPORA I - FASE 1;COMERCIALIZADA;12/05/2021; 100 ;Provisão de Moradias;Provisão de Moradias para Demanda Geral;Indiaporã;SÃO JOSÉ DO RIO PRETO
INDIAPORA I - FASE 2;COMERCIALIZADA;01/09/2022; 10 ;Provisão de Moradias;Provisão de Moradias para Demanda Geral;Indiaporã;SÃO JOSÉ DO RIO PRETO
INUBIA PAULISTA A;COMERCIALIZADA;02/05/1992; 80 ;SH3;;Inúbia Paulista;PRESIDENTE PRUDENTE
INUBIA PAULISTA B;COMERCIALIZADA;02/05/1992; 24 ;SH3;;Inúbia Paulista;PRESIDENTE PRUDENTE
INUBIA PAULISTA C;COMERCIALIZADA;31/05/2006; 106 ;Autoconstrução;;Inúbia Paulista;PRESIDENTE PRUDENTE
INUBIA PAULISTA V D;COMERCIALIZADA;27/02/2016; 108 ;Provisão de Moradias;Provisão de Moradias para Demanda Geral;Inúbia Paulista;PRESIDENTE PRUDENTE
IPAUSSU B;COMERCIALIZADA;08/09/1990; 46 ;SH2;;Ipaussu;MARÍLIA
IPAUSSU C;COMERCIALIZADA;14/04/1992; 200 ;SH3;;Ipaussu;MARÍLIA
IPAUSSU D;COMERCIALIZADA;29/09/1994; 270 ;SH3;;Ipaussu;MARÍLIA
IPAUSSU E;COMERCIALIZADA;28/05/2005; 60 ;Parceria com Municípios;;Ipaussu;MARÍLIA
IPAUSSU E;COMERCIALIZADA;20/10/2005; 60 ;Parceria com Municípios;;Ipaussu;MARÍLIA
IPAUSSU E;COMERCIALIZADA;28/09/2006; 60 ;Parceria com Municípios;;Ipaussu;MARÍLIA
IPAUSSU E;COMERCIALIZADA;18/08/2007; 55 ;Parceria com Municípios;;Ipaussu;MARÍLIA
IPAUSSU E;COMERCIALIZADA;23/07/2008; 6 ;Parceria com Municípios;;Ipaussu;MARÍLIA
IPAUSSU F;COMERCIALIZADA;13/06/2014; 154 ;Provisão de Moradias;Provisão de Moradias para Demanda Geral;Ipaussu;MARÍLIA
IPAUSSU G;COMERCIALIZADA;16/07/2021; 200 ;Provisão de Moradias;Provisão de Moradias para Demanda Geral;Ipaussu;MARÍLIA
IPERO A;COMERCIALIZADA;24/03/1993; 138 ;SH3;;Iperó;SOROCABA
IPERO B1;COMERCIALIZADA;08/06/1998; 160 ;SH4;;Iperó;SOROCABA
IPERO B2;COMERCIALIZADA;25/07/2001; 80 ;Sonho Meu;;Iperó;SOROCABA
IPERO B3;COMERCIALIZADA;16/09/2008; 40 ;Parceria com Municípios;;Iperó;SOROCABA
IPEUNA A;COMERCIALIZADA;04/08/1993; 80 ;SH3;;Ipeúna;CAMPINAS
IPEUNA B;COMERCIALIZADA;15/12/2011; 44 ;Provisão de Moradias;Provisão de Moradias para Demanda Geral;Ipeúna;CAMPINAS
IPIGUA A;COMERCIALIZADA;28/12/1992; 102 ;SH3;;Ipiguá;SÃO JOSÉ DO RIO PRETO
IPIGUA B;COMERCIALIZADA;20/12/2002; 60 ;Sonho Meu;;Ipiguá;SÃO JOSÉ DO RIO PRETO
IPIGUA C;COMERCIALIZADA;11/03/2017; 91 ;Provisão de Moradias;Provisão de Moradias para Demanda Geral;Ipiguá;SÃO JOSÉ DO RIO PRETO
IPORANGA B (MARIA ROSA) - (LITORAL PTA);COMERCIALIZADA;15/10/2008; 20 ;Moradias Quilombolas;;Iporanga;ITAPEVA
IPORANGA C (PILOES);COMERCIALIZADA;15/10/2008; 51 ;Moradias Quilombolas;;Iporanga;ITAPEVA
IPORANGA-CAPRICHANDO A MORADA 2010;COMERCIALIZADA;31/12/2010; 10 ;Parceria Associações e Cooperativas;;Iporanga;ITAPEVA
IPUA;COMERCIALIZADA;27/05/1994; 1 ;Lotes Próprios;;Ipuã;FRANCA
IPUA;COMERCIALIZADA;27/05/1994; 4 ;Lotes Próprios;;Ipuã;FRANCA
IPUA;COMERCIALIZADA;31/05/1994; 2 ;Lotes Próprios;;Ipuã;FRANCA
IPUA B;COMERCIALIZADA;02/08/1992; 323 ;SH3;;Ipuã;FRANCA
IPUA C;COMERCIALIZADA;16/04/1997; 300 ;SH4;;Ipuã;FRANCA
IPUA D;COMERCIALIZADA;02/06/1995; 50 ;SH4;;Ipuã;FRANCA
IPUA E;COMERCIALIZADA;14/07/2007; 54 ;Parceria com Municípios;;Ipuã;FRANCA
IPUA E;COMERCIALIZADA;24/08/2008; 57 ;Parceria com Municípios;;Ipuã;FRANCA
IPUA F;COMERCIALIZADA;12/02/2011; 30 ;Provisão de Moradias;Provisão de Moradias para Demanda Geral;Ipuã;FRANCA
IRACEMAPOLIS A1;COMERCIALIZADA;27/04/1992; 300 ;SH3;;Iracemápolis;CAMPINAS
IRACEMAPOLIS A2;COMERCIALIZADA;19/08/1993; 50 ;SH3;;Iracemápolis;CAMPINAS
IRAPUA A;COMERCIALIZADA;30/11/1991; 69 ;SH3;;Irapuã;SÃO JOSÉ DO RIO PRETO
IRAPUA B;COMERCIALIZADA;22/06/1996; 78 ;SH4;;Irapuã;SÃO JOSÉ DO RIO PRETO
IRAPUA C1;COMERCIALIZADA;22/06/1996; 128 ;SH4;;Irapuã;SÃO JOSÉ DO RIO PRETO
IRAPUA D;COMERCIALIZADA;15/04/2000; 90 ;Sonho Meu;;Irapuã;SÃO JOSÉ DO RIO PRETO
IRAPUA E;COMERCIALIZADA;19/12/2009; 69 ;Provisão de Moradias;Provisão de Moradias para Demanda Geral;Irapuã;SÃO JOSÉ DO RIO PRETO
IRAPURU A1;COMERCIALIZADA;01/01/1977; 20 ;CEESP;;Irapuru;PRESIDENTE PRUDENTE
IRAPURU B1/B2;COMERCIALIZADA;11/12/1992; 90 ;SH3;;Irapuru;PRESIDENTE PRUDENTE
IRAPURU C;COMERCIALIZADA;28/09/1994; 182 ;SH4;;Irapuru;PRESIDENTE PRUDENTE
IRAPURU C2;COMERCIALIZADA;18/12/2002; 55 ;Sonho Meu;;Irapuru;PRESIDENTE PRUDENTE
IRAPURU C3;COMERCIALIZADA;27/12/2005; 11 ;Autoconstrução;;Irapuru;PRESIDENTE PRUDENTE
IRAPURU D1;COMERCIALIZADA;27/12/2005; 74 ;Autoconstrução;;Irapuru;PRESIDENTE PRUDENTE
IRAPURU E;COMERCIALIZADA;14/05/2018; 216 ;Provisão de Moradias;Provisão de Moradias para Demanda Geral;Irapuru;PRESIDENTE PRUDENTE
ITABERA - CAPRICHANDO A MORADA 2010;COMERCIALIZADA;31/12/2010; 34 ;Parceria Associações e Cooperativas;;Itaberá;ITAPEVA
ITABERA A;COMERCIALIZADA;27/07/1992; 200 ;SH2;;Itaberá;ITAPEVA
ITABERA C1;COMERCIALIZADA;16/11/1996; 100 ;SH4;;Itaberá;ITAPEVA
ITABERA C2;COMERCIALIZADA;07/06/2001; 26 ;Sonho Meu;;Itaberá;ITAPEVA
ITABERA D;COMERCIALIZADA;20/03/2004; 142 ;Núcleo Habitacional por Empreitada;;Itaberá;ITAPEVA
ITABERA E;COMERCIALIZADA;25/07/2008; 16 ;Parceria com Municípios;;Itaberá;ITAPEVA
ITABERA F;COMERCIALIZADA;28/12/2015; 55 ;Provisão de Moradias;Provisão de Moradias para Demanda Geral;Itaberá;ITAPEVA
ITABERA G;COMERCIALIZADA;15/06/2019; 100 ;Provisão de Moradias;Provisão de Moradias para Demanda Geral;Itaberá;ITAPEVA
ITABERA-CAPRICHANDO A MORADA 2008;COMERCIALIZADA;30/12/2008; 30 ;Parceria Associações e Cooperativas;;Itaberá;ITAPEVA
ITABERA-CAPRICHANDO A MORADA 2009;COMERCIALIZADA;30/12/2009; 50 ;Parceria Associações e Cooperativas;;Itaberá;ITAPEVA
ITAI - MICROCREDITO;COMERCIALIZADA;31/12/2007; 8 ;Crédito Habitacional;;Itaí;ITAPEVA
ITAI A;COMERCIALIZADA;29/09/1990; 100 ;SH2;;Itaí;ITAPEVA
ITAI A2;COMERCIALIZADA;02/12/2000; 143 ;Sonho Meu;;Itaí;ITAPEVA
ITAI B1/B2;COMERCIALIZADA;27/10/1997; 162 ;SH4;;Itaí;ITAPEVA
ITAI C;COMERCIALIZADA;27/12/2007; 195 ;Parceria com Municípios;;Itaí;ITAPEVA
ITAI D;COMERCIALIZADA;19/12/2015; 90 ;Requalificação Habitacional e Urbana;Reassentamento Habitacional;Itaí;ITAPEVA
ITAI D;COMERCIALIZADA;21/03/2016; 32 ;Requalificação Habitacional e Urbana;Reassentamento Habitacional;Itaí;ITAPEVA
ITAI D;COMERCIALIZADA;29/04/2016; 27 ;Requalificação Habitacional e Urbana;Reassentamento Habitacional;Itaí;ITAPEVA
ITAI D;COMERCIALIZADA;31/05/2016; 17 ;Requalificação Habitacional e Urbana;Reassentamento Habitacional;Itaí;ITAPEVA
ITAJOBI A;COMERCIALIZADA;31/10/1992; 160 ;SH3;;Itajobi;SÃO JOSÉ DO RIO PRETO
ITAJOBI B;COMERCIALIZADA;23/12/2003; 70 ;Autoconstrução;;Itajobi;SÃO JOSÉ DO RIO PRETO
ITAJOBI C;COMERCIALIZADA;28/01/2004; 20 ;Autoconstrução;;Itajobi;SÃO JOSÉ DO RIO PRETO
ITAJOBI E;COMERCIALIZADA;25/08/2012; 98 ;Provisão de Moradias;Provisão de Moradias para Demanda Geral;Itajobi;SÃO JOSÉ DO RIO PRETO
ITAJOBI F;COMERCIALIZADA;05/05/2018; 141 ;Provisão de Moradias;Provisão de Moradias para Demanda Geral;Itajobi;SÃO JOSÉ DO RIO PRETO
ITAJU A;COMERCIALIZADA;23/09/1995; 44 ;SH4;;Itaju;BAURU
ITAJU B;COMERCIALIZADA;26/06/2010; 50 ;Parceria com Municípios;;Itaju;BAURU
ITAJU C;COMERCIALIZADA;08/12/2017; 55 ;Provisão de Moradias;Provisão de Moradias para Demanda Geral;Itaju;BAURU
ITAJU C;COMERCIALIZADA;30/06/2018; 59 ;Provisão de Moradias;Provisão de Moradias para Demanda Geral;Itaju;BAURU
ITANHAEM A1/A2;COMERCIALIZADA;20/02/1990; 30 ;SH2;;Itanhaém;SANTOS
ITANHAEM A1/A2;COMERCIALIZADA;21/04/1990; 86 ;SH2;;Itanhaém;SANTOS
ITANHAEM C1 - GUARAPIRANGA;COMERCIALIZADA;09/12/1992; 224 ;SH3;;Itanhaém;SANTOS
ITANHAEM C2 - GUARAPIRANGA;COMERCIALIZADA;29/11/1996; 580 ;SH4;;Itanhaém;SANTOS
ITANHAEM C3 - GUARAPIRANGA;COMERCIALIZADA;24/02/2006; 32 ;Núcleo Habitacional por Empreitada;;Itanhaém;SANTOS
ITANHAEM C3 - GUARAPIRANGA;COMERCIALIZADA;13/12/2006; 176 ;Núcleo Habitacional por Empreitada;;Itanhaém;SANTOS
ITANHAEM E (ALDEIA RIO BRANCO) - (LITORAL PTA);COMERCIALIZADA;11/01/2012; 20 ;Provisão de Moradias;Provisão de Moradias para Demanda Geral;Itanhaém;SANTOS
ITANHAEM E (ALDEIA RIO BRANCO) - (LITORAL PTA);COMERCIALIZADA;15/12/2015; 3 ;Provisão de Moradias;Provisão de Moradias para Demanda Geral;Itanhaém;SANTOS
ITANHAEM E (ALDEIA RIO BRANCO) - (LITORAL PTA);COMERCIALIZADA;29/07/2016; 5 ;Provisão de Moradias;Provisão de Moradias para Demanda Geral;Itanhaém;SANTOS
ITANHAEM G (UMUARAMA I);COMERCIALIZADA;30/12/2009; 176 ;Recuperação Socioambiental Serra do Mar;;Itanhaém;SANTOS
ITANHAEM H (UMUARAMA II);COMERCIALIZADA;30/12/2009; 160 ;Produção Direta;;Itanhaém;SANTOS
ITANHAEM I (UMUARAMA III);COMERCIALIZADA;30/12/2009; 160 ;Produção Direta;;Itanhaém;SANTOS
ITANHAEM J - VERDES MARES II;COMERCIALIZADA;30/12/2009; 176 ;Produção Direta;;Itanhaém;SANTOS
ITANHAEM K - VERDES MARES III;COMERCIALIZADA;30/12/2009; 176 ;Produção Direta;;Itanhaém;SANTOS
ITANHAEM L - VERDES MARES IV;COMERCIALIZADA;30/12/2009; 64 ;Recuperação Socioambiental Serra do Mar;;Itanhaém;SANTOS
ITAOCA A1;COMERCIALIZADA;16/05/1997; 48 ;SH4;;Itaóca;ITAPEVA
ITAOCA V B - (LITORAL PTA);COMERCIALIZADA;23/06/2018; 86 ;Provisão de Moradias;Provisão de Moradias para Demanda Geral;Itaóca;ITAPEVA
ITAOCA-CAPRICHANDO A MORADA - 2010;COMERCIALIZADA;31/12/2010; 11 ;Parceria Associações e Cooperativas;;Itaóca;ITAPEVA
ITAPECERICA DA SERRA A1 - PARQUE SANTA AMELIA;COMERCIALIZADA;18/01/2001; 81 ;Guarapiranga;;Itapecerica da Serra;METROPOLITANA SÃO PAULO
ITAPECERICA DA SERRA-LOTE A;COMERCIALIZADA;17/12/1998; 12 ;Guarapiranga;;Itapecerica da Serra;METROPOLITANA SÃO PAULO
ITAPECERICA DA SERRA-LOTE A;COMERCIALIZADA;09/08/2002; 22 ;Guarapiranga;;Itapecerica da Serra;METROPOLITANA SÃO PAULO
ITAPECERICA DA SERRA-LOTE B;COMERCIALIZADA;17/12/1998; 22 ;Guarapiranga;;Itapecerica da Serra;METROPOLITANA SÃO PAULO
ITAPECERICA DA SERRA-LOTE B;COMERCIALIZADA;09/08/2002; 63 ;Guarapiranga;;Itapecerica da Serra;METROPOLITANA SÃO PAULO
ITAPETININGA - MICROCREDITO;COMERCIALIZADA;31/12/2007; 14 ;Crédito Habitacional;;Itapetininga;SOROCABA
